YYYYMMDD	Filter	Target
20140930	R	OJ287
20140930	R	OJ49
20140930	R	PKS0420-01
20140930	R	PKS0528+134
20140930	R	PKS0735+17
20140930	R	S5_0716+71
20141001	R	3C345
20141001	R	3C371
20141001	R	3C454-3
20141001	R	3C66A
20141001	R	4C51-37
20141001	R	4C71-07
20141001	R	AO0235+16
20141001	R	CTA102
20141001	R	Mkn501
20141001	R	OJ248
20141001	R	OJ287
20141001	R	OJ49
20141001	R	PKS0420-01
20141001	R	PKS0528+134
20141001	R	PKS0735+17
20141001	R	PKS2155-304
20141001	R	S5_0716+71
20141003	R	3C371
20141003	R	3C454-3
20141003	R	3C66A
20141003	R	AO0235+16
20141003	R	CTA102
20141003	R	PKS2155-304
20141004	R	3C66A
20141004	R	AO0235+16
20141004	R	PKS0420-01
20141005	R	3C371
20141005	R	3C454-3
20141005	R	3C66A
20141005	R	4C51-37
20141005	R	AO0235+16
20141005	R	CTA102
20141005	R	PKS0420-01
20141005	R	PKS2155-304
20141006	R	3C345
20141006	R	3C371
20141006	R	3C454-3
20141006	R	3C66A
20141006	R	4C38-41
20141006	R	4C51-37
20141006	R	AO0235+16
20141006	R	CTA102
20141006	R	DA406
20141006	R	Mkn501
20141006	R	PKS2155-304
20141007	R	3C345
20141007	R	3C371
20141007	R	3C454-3
20141007	R	3C66A
20141007	R	4C38-41
20141007	R	4C51-37
20141007	R	AO0235+16
20141007	R	CTA102
20141007	R	Mkn501
20141007	R	PKS2155-304
20141008	R	3C371
20141008	R	3C454-3
20141008	R	3C66A
20141008	R	4C51-37
20141008	R	AO0235+16
20141008	R	CTA102
20141008	R	PKS0420-01
20141008	R	PKS2155-304
20141009	R	3C371
20141009	R	CTA102
20141009	R	PKS2155-304
20141014	R	3C371
20141014	R	3C454-3
20141014	R	3C66A
20141014	R	4C51-37
20141014	R	AO0235+16
20141014	R	CTA102
20141014	R	Mkn501
20141014	R	PKS2155-304
20141015	R	3C371
20141015	R	3C454-3
20141015	R	3C66A
20141015	R	4C51-37
20141015	R	AO0235+16
20141015	R	CTA102
20141015	R	Mkn501
20141015	R	PKS2155-304
20141016	R	3C371
20141016	R	3C454-3
20141016	R	3C66A
20141016	R	4C51-37
20141016	R	AO0235+16
20141016	R	CTA102
20141016	R	Mkn501
20141016	R	PKS2155-304
20141017	R	PKS2155-304
20141018	R	3C371
20141018	R	3C454-3
20141018	R	3C66A
20141018	R	4C51-37
20141018	R	AO0235+16
20141018	R	CTA102
20141018	R	PKS0420-01
20141018	R	PKS0528+134
20141018	R	PKS2155-304
20141018	R	S5_0716+71
20141019	R	3C454-3
20141019	R	3C66A
20141019	R	AO0235+16
20141019	R	CTA102
20141019	R	PKS0420-01
20141019	R	PKS0528+134
20141020	R	3C371
20141020	R	3C454-3
20141020	R	3C66A
20141020	R	4C38-41
20141020	R	4C51-37
20141020	R	AO0235+16
20141020	R	CTA102
20141020	R	Mkn501
20141020	R	PKS2155-304
20141021	R	3C66A
20141021	R	4C71-07
20141021	R	AO0235+16
20141021	R	OJ248
20141021	R	OJ287
20141021	R	OJ49
20141021	R	PKS0420-01
20141021	R	PKS0528+134
20141021	R	PKS0735+17
20141021	R	S4_0954+65
20141021	R	S5_0716+71
20141024	R	3C371
20141024	R	3C454-3
20141024	R	3C66A
20141024	R	AO0235+16
20141024	R	CTA102
20141024	R	PKS0420-01
20141024	R	PKS0528+134
20141024	R	PKS2155-304
20141025	R	3C371
20141025	R	3C454-3
20141025	R	3C66A
20141025	R	4C51-37
20141025	R	AO0235+16
20141025	R	CTA102
20141025	R	PKS0420-01
20141025	R	PKS2155-304
20141027	R	3C454-3
20141027	R	3C66A
20141027	R	4C71-07
20141027	R	AO0235+16
20141027	R	CTA102
20141027	R	OJ248
20141027	R	PKS0420-01
20141027	R	PKS0528+134
20141027	R	PKS0735+17
20141027	R	S5_0716+71
20141028	R	3C454-3
20141028	R	3C66A
20141028	R	4C71-07
20141028	R	AO0235+16
20141028	R	CTA102
20141028	R	PKS0420-01
20141028	R	PKS0528+134
20141028	R	S5_0716+71
20141029	R	3C371
20141029	R	3C454-3
20141029	R	3C66A
20141029	R	4C51-37
20141029	R	AO0235+16
20141029	R	CTA102
